processed 0 flows
Cluster 12 is anomaly with the nodes:
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33672', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33692', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33696', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33698', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33700', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33702', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33704', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33708', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33706', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33710', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33712', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33714', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33716', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33718', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33722', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33720', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33724', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33726', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33728', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33730', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33732', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33734', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33736', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33740', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33738', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33744', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33742', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33746', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33748', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33750', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33752', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33754', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33756', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33758', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33760', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33762', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33764', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 7, 'length': 0.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 0.0, 'mean_packet_length': 0.0, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 0, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 12, 'printed': False, 'pred': True, 'label': True, 'cluster_pred': True, 'ann_pred': False, 'ip': '172.16.0.1', 'port': '33766', 'flows': 1, 'color': 'lightgreen', 'packet_index': '5/7/2017 10:15'}
